Age_Group,Gender,Work_Experience,Working_Hours_Per_Day,Meetings_Per_Week,Late_Night_Work_Frequency,AI_Job_Displacement_Fear,Supervisor_Support,Salary_Satisfaction,Work_Life_Balance,Stress_Level,Sleep_Quality,Job_Satisfaction,Burnout_Symptoms,Depression_Risk,Employee_ID,Employee_Name,Department,Date,Month
18-25,Male,1,5,2,3,5,4,4,3,3,2,4,3,1,EMP0230,Employee_230,Finance,2025-08-18,Aug
18-25,Female,4,3,5,2,3,3,3,3,2,4,3,2,0,EMP0231,Employee_231,Finance,2025-08-19,Aug
18-25,Prefer not to say,5,3,2,4,5,2,4,3,4,2,3,4,2,EMP0232,Employee_232,Finance,2025-08-20,Aug
18-25,Male,1,4,5,5,3,3,3,3,4,2,3,5,2,EMP0233,Employee_233,Finance,2025-08-21,Aug
36-45,Male,4,3,4,5,4,1,5,3,5,1,3,4,2,EMP0234,Employee_234,IT,2025-08-22,Aug
36-45,Male,5,3,5,2,1,3,3,3,3,4,3,3,1,EMP0235,Employee_235,Marketing,2025-08-23,Aug
18-25,Female,4,1,1,3,2,4,4,4,2,3,4,1,0,EMP0236,Employee_236,Support,2025-08-24,Aug
18-25,Female,1,5,2,2,5,2,1,1,3,3,1,4,2,EMP0237,Employee_237,HR,2025-08-25,Aug
46+,Male,3,3,3,4,2,2,5,3,3,2,3,4,1,EMP0238,Employee_238,HR,2025-08-26,Aug
26-35,Male,4,5,2,4,2,5,5,4,3,3,5,3,1,EMP0239,Employee_239,IT,2025-08-27,Aug
26-35,Male,1,3,3,4,4,3,3,3,4,3,3,5,1,EMP0240,Employee_240,HR,2025-08-28,Aug
18-25,Male,4,4,1,5,2,2,4,3,4,2,3,4,2,EMP0241,Employee_241,IT,2025-08-29,Aug
26-35,Prefer not to say,3,2,4,1,4,2,3,3,2,3,3,1,1,EMP0242,Employee_242,Marketing,2025-08-30,Aug
46+,Male,2,2,5,5,3,1,4,3,3,1,3,3,1,EMP0243,Employee_243,HR,2025-08-31,Aug
26-35,Male,5,4,4,5,2,5,1,3,4,2,3,3,2,EMP0244,Employee_244,Support,2025-09-01,Sep
18-25,Male,5,1,1,2,4,2,1,3,2,4,2,3,1,EMP0245,Employee_245,Sales,2025-09-02,Sep
26-35,Male,5,5,2,5,2,2,3,2,4,2,2,4,2,EMP0246,Employee_246,IT,2025-09-03,Sep
46+,Male,3,1,1,5,5,3,2,3,3,3,3,3,2,EMP0247,Employee_247,HR,2025-09-04,Sep
18-25,Female,5,5,5,3,2,3,1,2,4,2,2,3,2,EMP0248,Employee_248,IT,2025-09-05,Sep
36-45,Female,1,1,4,5,1,1,3,3,3,3,2,3,1,EMP0249,Employee_249,Sales,2025-09-06,Sep
36-45,Male,1,1,1,5,4,5,2,4,3,3,4,3,1,EMP0250,Employee_250,HR,2025-09-07,Sep
18-25,Male,3,5,3,5,2,1,1,1,5,1,1,5,2,EMP0251,Employee_251,Operations,2025-09-08,Sep
26-35,Male,2,4,1,1,2,2,5,3,3,4,3,2,1,EMP0252,Employee_252,Finance,2025-09-09,Sep
26-35,Female,5,5,1,1,3,2,3,2,2,5,2,2,1,EMP0253,Employee_253,Finance,2025-09-10,Sep
26-35,Female,3,5,1,3,2,4,4,3,4,3,4,3,2,EMP0254,Employee_254,IT,2025-09-11,Sep
18-25,Male,5,5,5,1,4,5,4,3,3,3,4,3,2,EMP0255,Employee_255,Marketing,2025-09-12,Sep
46+,Female,2,5,1,5,2,3,5,3,4,2,4,5,1,EMP0256,Employee_256,Sales,2025-09-13,Sep
26-35,Male,3,3,2,1,4,4,4,4,2,5,4,1,1,EMP0257,Employee_257,Finance,2025-09-14,Sep
36-45,Male,4,4,1,4,3,3,4,3,4,2,3,3,2,EMP0258,Employee_258,IT,2025-09-15,Sep
18-25,Male,1,3,1,1,2,5,1,3,1,5,3,2,1,EMP0259,Employee_259,Finance,2025-09-16,Sep
18-25,Male,1,2,2,4,3,1,5,3,3,1,3,4,1,EMP0260,Employee_260,Sales,2025-09-17,Sep
26-35,Male,4,5,1,4,4,1,4,2,5,2,2,5,2,EMP0261,Employee_261,IT,2025-09-18,Sep
18-25,Male,1,2,3,3,5,4,2,3,3,3,3,3,2,EMP0262,Employee_262,Marketing,2025-09-19,Sep
46+,Female,3,4,5,2,2,1,1,1,3,4,1,2,1,EMP0263,Employee_263,Support,2025-09-20,Sep
18-25,Female,3,2,4,4,3,1,2,2,4,1,1,3,1,EMP0264,Employee_264,Finance,2025-09-21,Sep
26-35,Male,5,1,4,4,4,4,3,4,2,3,4,3,1,EMP0265,Employee_265,Sales,2025-09-22,Sep
18-25,Prefer not to say,5,4,2,2,1,5,4,4,3,4,5,3,2,EMP0266,Employee_266,Marketing,2025-09-23,Sep
18-25,Male,1,3,3,1,2,2,4,3,2,5,3,3,1,EMP0267,Employee_267,Sales,2025-09-24,Sep
18-25,Male,1,2,2,4,4,3,2,3,3,2,3,2,1,EMP0268,Employee_268,IT,2025-09-25,Sep
18-25,Female,1,4,4,3,2,3,5,3,3,4,4,2,1,EMP0269,Employee_269,IT,2025-09-26,Sep
26-35,Male,3,3,1,4,1,3,4,3,2,2,4,2,1,EMP0270,Employee_270,Support,2025-09-27,Sep
18-25,Male,2,2,1,3,3,3,5,4,3,3,4,2,1,EMP0271,Employee_271,HR,2025-09-28,Sep
26-35,Male,4,1,2,5,4,2,1,3,3,1,2,2,1,EMP0272,Employee_272,HR,2025-09-29,Sep
18-25,Male,3,3,3,3,3,1,2,2,3,3,1,4,2,EMP0273,Employee_273,Operations,2025-09-30,Sep
26-35,Male,2,1,5,4,5,3,4,4,3,3,4,3,2,EMP0274,Employee_274,Operations,2025-10-01,Oct
26-35,Male,2,5,5,2,1,1,3,2,4,4,2,4,1,EMP0275,Employee_275,IT,2025-10-02,Oct
18-25,Male,1,4,3,3,5,1,4,2,3,2,2,4,1,EMP0276,Employee_276,IT,2025-10-03,Oct
26-35,Male,5,4,1,3,1,4,1,2,4,2,2,3,1,EMP0277,Employee_277,Support,2025-10-04,Oct
18-25,Female,2,4,2,1,2,5,1,3,3,5,3,2,1,EMP0278,Employee_278,IT,2025-10-05,Oct
26-35,Male,5,4,2,1,5,4,5,4,4,3,4,2,1,EMP0279,Employee_279,Finance,2025-10-06,Oct
18-25,Prefer not to say,1,1,4,5,2,5,5,5,2,3,5,2,1,EMP0280,Employee_280,Marketing,2025-10-07,Oct
36-45,Male,1,5,4,3,2,4,2,2,4,4,2,3,1,EMP0281,Employee_281,Sales,2025-10-08,Oct
18-25,Male,3,1,4,2,4,1,3,3,3,3,2,2,1,EMP0282,Employee_282,Operations,2025-10-09,Oct
18-25,Male,5,4,1,1,5,5,4,4,2,5,5,3,1,EMP0283,Employee_283,IT,2025-10-10,Oct
36-45,Male,5,5,1,3,4,2,4,2,4,3,2,4,2,EMP0284,Employee_284,IT,2025-10-11,Oct
18-25,Female,5,1,1,3,2,3,3,4,2,3,4,2,1,EMP0285,Employee_285,IT,2025-10-12,Oct
26-35,Female,1,4,5,3,4,1,5,3,4,4,3,4,2,EMP0286,Employee_286,Support,2025-10-13,Oct
46+,Female,4,1,2,2,4,1,5,4,3,3,3,1,1,EMP0287,Employee_287,Support,2025-10-14,Oct
36-45,Female,1,2,5,3,2,1,2,2,3,3,1,3,1,EMP0288,Employee_288,IT,2025-10-15,Oct
26-35,Female,2,4,1,3,5,5,4,4,3,2,5,2,1,EMP0289,Employee_289,HR,2025-10-16,Oct
46+,Female,3,3,2,5,4,3,5,4,4,1,4,4,2,EMP0290,Employee_290,IT,2025-10-17,Oct
26-35,Male,1,2,4,5,1,2,1,2,3,2,1,4,1,EMP0291,Employee_291,IT,2025-10-18,Oct
36-45,Male,1,3,4,1,1,4,2,3,3,4,3,2,1,EMP0292,Employee_292,Operations,2025-10-19,Oct
26-35,Female,1,2,1,5,3,2,2,3,3,3,2,4,1,EMP0293,Employee_293,IT,2025-10-20,Oct
36-45,Male,2,5,3,4,1,5,3,3,4,3,4,5,2,EMP0294,Employee_294,Finance,2025-10-21,Oct
18-25,Male,3,5,2,5,4,3,1,2,4,2,2,5,2,EMP0295,Employee_295,IT,2025-10-22,Oct
36-45,Female,3,2,1,3,5,5,3,4,3,4,4,3,1,EMP0296,Employee_296,Marketing,2025-10-23,Oct
36-45,Female,3,3,4,4,5,5,2,3,4,2,3,5,2,EMP0297,Employee_297,HR,2025-10-24,Oct
36-45,Male,4,2,3,3,1,5,2,4,1,4,4,2,1,EMP0298,Employee_298,IT,2025-10-25,Oct
18-25,Male,1,3,4,2,1,1,1,2,2,5,1,2,1,EMP0299,Employee_299,IT,2025-10-26,Oct
26-35,Male,1,4,4,5,5,5,5,4,3,2,5,4,1,EMP0300,Employee_300,Operations,2025-10-27,Oct
18-25,Male,2,1,5,5,1,5,2,4,3,3,4,4,1,EMP0301,Employee_301,HR,2025-10-28,Oct
26-35,Female,3,4,3,3,2,2,4,3,5,2,3,4,2,EMP0302,Employee_302,IT,2025-10-29,Oct
18-25,Female,5,3,1,3,5,2,2,2,4,4,2,4,2,EMP0303,Employee_303,HR,2025-10-30,Oct
18-25,Male,4,5,2,4,5,3,4,3,3,3,3,4,1,EMP0304,Employee_304,Marketing,2025-10-31,Oct
18-25,Female,1,4,5,5,3,2,1,2,4,1,1,5,2,EMP0305,Employee_305,Sales,2025-11-01,Nov
36-45,Male,4,4,1,4,4,1,5,3,4,3,3,4,2,EMP0306,Employee_306,IT,2025-11-02,Nov
26-35,Male,4,5,2,3,2,2,3,2,4,3,2,4,1,EMP0307,Employee_307,Marketing,2025-11-03,Nov
26-35,Male,5,5,3,5,1,2,2,2,3,2,2,4,2,EMP0308,Employee_308,HR,2025-11-04,Nov
26-35,Female,2,3,2,4,5,5,2,3,3,2,3,3,1,EMP0309,Employee_309,HR,2025-11-05,Nov
18-25,Male,3,5,1,1,5,3,2,2,2,5,2,2,1,EMP0310,Employee_310,IT,2025-11-06,Nov
26-35,Male,1,5,5,3,3,1,2,1,4,3,1,5,2,EMP0311,Employee_311,Operations,2025-11-07,Nov
26-35,Female,4,4,1,5,2,5,3,3,3,2,4,4,2,EMP0312,Employee_312,Support,2025-11-08,Nov
18-25,Prefer not to say,5,1,3,3,4,5,1,4,3,3,3,3,1,EMP0313,Employee_313,IT,2025-11-09,Nov
26-35,Male,1,1,2,4,3,4,3,4,3,2,4,3,1,EMP0314,Employee_314,Marketing,2025-11-10,Nov
26-35,Male,2,5,4,2,4,3,3,2,3,5,3,4,2,EMP0315,Employee_315,Sales,2025-11-11,Nov
36-45,Female,3,3,1,3,1,2,2,2,3,5,2,3,2,EMP0316,Employee_316,Marketing,2025-11-12,Nov
26-35,Female,1,5,1,3,2,4,1,2,4,4,2,4,1,EMP0317,Employee_317,IT,2025-11-13,Nov
36-45,Female,3,4,3,3,3,4,3,3,3,3,3,4,1,EMP0318,Employee_318,IT,2025-11-14,Nov
26-35,Female,1,1,2,1,1,3,3,4,2,5,4,1,1,EMP0319,Employee_319,Support,2025-11-15,Nov
26-35,Male,3,2,3,5,5,3,4,4,3,2,4,4,1,EMP0320,Employee_320,Operations,2025-11-16,Nov
18-25,Male,1,2,2,5,4,1,4,3,3,2,3,3,1,EMP0321,Employee_321,Finance,2025-11-17,Nov
26-35,Male,5,4,5,2,4,1,2,2,4,3,1,3,1,EMP0322,Employee_322,Finance,2025-11-18,Nov
36-45,Prefer not to say,1,4,1,4,4,5,1,3,4,1,3,4,1,EMP0323,Employee_323,Marketing,2025-11-19,Nov
18-25,Female,5,2,2,1,5,4,2,3,2,4,3,2,1,EMP0324,Employee_324,Marketing,2025-11-20,Nov
18-25,Male,2,3,1,5,3,1,3,2,4,1,2,4,2,EMP0325,Employee_325,IT,2025-11-21,Nov
26-35,Female,1,1,1,4,4,4,1,3,3,3,3,3,2,EMP0326,Employee_326,Sales,2025-11-22,Nov
26-35,Female,3,5,5,5,3,3,4,3,5,2,3,4,1,EMP0327,Employee_327,Support,2025-11-23,Nov
36-45,Male,4,3,5,4,1,5,5,4,4,4,5,4,2,EMP0328,Employee_328,Finance,2025-11-24,Nov
18-25,Male,2,3,1,1,3,3,4,3,2,4,4,2,1,EMP0329,Employee_329,Support,2025-11-25,Nov
36-45,Female,4,3,3,4,2,3,2,3,5,3,2,4,2,EMP0330,Employee_330,Operations,2025-11-26,Nov
26-35,Male,4,2,1,2,5,1,3,3,1,4,3,1,0,EMP0331,Employee_331,IT,2025-11-27,Nov
36-45,Male,2,4,2,1,3,5,4,4,3,4,5,3,1,EMP0332,Employee_332,Operations,2025-11-28,Nov
26-35,Male,5,1,1,5,3,3,2,3,3,1,3,2,1,EMP0333,Employee_333,HR,2025-11-29,Nov
36-45,Female,1,1,4,1,4,1,4,3,2,5,3,1,0,EMP0334,Employee_334,Sales,2025-11-30,Nov
18-25,Male,4,2,5,5,5,4,5,4,5,1,4,4,2,EMP0335,Employee_335,Marketing,2025-12-01,Dec
18-25,Male,2,1,1,4,4,4,1,3,1,3,3,2,1,EMP0336,Employee_336,HR,2025-12-02,Dec
26-35,Female,1,2,5,1,2,4,5,4,3,5,5,3,0,EMP0337,Employee_337,HR,2025-12-03,Dec
36-45,Male,3,5,4,2,4,5,3,3,3,4,4,3,1,EMP0338,Employee_338,IT,2025-12-04,Dec
26-35,Male,5,4,1,5,2,2,4,3,3,2,3,3,1,EMP0339,Employee_339,Support,2025-12-05,Dec
18-25,Female,2,2,2,5,1,3,2,3,1,3,3,2,1,EMP0340,Employee_340,Finance,2025-12-06,Dec
36-45,Male,4,2,4,1,4,4,5,4,2,5,5,1,1,EMP0341,Employee_341,Marketing,2025-12-07,Dec
36-45,Female,1,3,2,2,3,2,2,2,1,3,2,2,0,EMP0342,Employee_342,Operations,2025-12-08,Dec
18-25,Female,3,1,1,5,5,5,4,5,3,2,5,3,1,EMP0343,Employee_343,Support,2025-12-09,Dec
26-35,Female,2,1,3,4,2,1,3,3,3,3,2,3,1,EMP0344,Employee_344,Marketing,2025-12-10,Dec
18-25,Female,5,1,3,1,3,1,5,4,3,5,3,2,1,EMP0345,Employee_345,IT,2025-12-11,Dec
18-25,Male,2,5,5,5,5,3,4,3,5,3,3,5,2,EMP0346,Employee_346,Operations,2025-12-12,Dec
18-25,Male,5,1,2,5,3,5,3,4,3,3,4,4,2,EMP0347,Employee_347,HR,2025-12-13,Dec
18-25,Male,1,5,1,4,1,5,1,2,3,2,3,4,1,EMP0348,Employee_348,HR,2025-12-14,Dec
36-45,Female,3,5,5,2,1,2,4,2,4,4,2,4,2,EMP0349,Employee_349,Finance,2025-12-15,Dec
36-45,Male,5,4,3,4,3,2,1,2,5,3,1,4,2,EMP0350,Employee_350,Marketing,2025-12-16,Dec
26-35,Female,4,2,4,2,2,5,4,4,2,5,5,2,0,EMP0351,Employee_351,IT,2025-12-17,Dec
46+,Female,2,1,5,1,5,1,5,4,1,4,4,1,0,EMP0352,Employee_352,Marketing,2025-12-18,Dec
26-35,Female,1,5,5,5,1,4,3,3,5,2,3,4,2,EMP0353,Employee_353,Support,2025-12-19,Dec
18-25,Female,1,5,5,3,4,5,2,3,4,3,3,4,1,EMP0354,Employee_354,Marketing,2025-12-20,Dec
18-25,Male,5,3,4,3,2,3,5,4,3,4,4,3,1,EMP0355,Employee_355,Support,2025-12-21,Dec
18-25,Female,4,4,2,5,4,1,2,2,4,1,1,4,2,EMP0356,Employee_356,Finance,2025-12-22,Dec
18-25,Female,1,3,4,1,3,2,4,3,4,4,3,2,1,EMP0357,Employee_357,Operations,2025-12-23,Dec
18-25,Male,1,3,4,3,3,3,4,3,3,4,3,3,1,EMP0358,Employee_358,HR,2025-12-24,Dec
26-35,Female,5,3,3,2,4,2,4,3,3,3,3,2,1,EMP0359,Employee_359,Finance,2025-12-25,Dec
26-35,Male,5,5,1,5,3,5,1,2,3,1,3,3,1,EMP0360,Employee_360,Sales,2025-12-26,Dec
26-35,Male,5,3,4,5,1,4,1,3,3,1,3,2,2,EMP0361,Employee_361,Operations,2025-12-27,Dec
18-25,Male,2,2,2,5,4,3,5,4,4,2,4,4,1,EMP0362,Employee_362,Operations,2025-12-28,Dec
26-35,Male,3,5,5,4,5,4,2,2,5,1,2,4,2,EMP0363,Employee_363,Sales,2025-12-29,Dec
18-25,Female,5,4,4,2,4,2,4,3,3,5,3,4,1,EMP0364,Employee_364,IT,2025-12-30,Dec
18-25,Male,5,1,1,1,2,5,4,5,2,5,5,2,1,EMP0365,Employee_365,HR,2025-12-31,Dec
26-35,Male,5,5,2,1,2,4,5,3,3,5,4,3,1,EMP0366,Employee_366,Finance,2026-01-01,Jan
26-35,Male,2,2,4,3,1,2,2,3,2,3,2,2,0,EMP0367,Employee_367,Sales,2026-01-02,Jan
18-25,Male,2,1,3,5,3,1,4,3,3,2,3,3,1,EMP0368,Employee_368,Operations,2026-01-03,Jan
26-35,Female,4,5,1,5,2,4,1,2,3,3,2,4,2,EMP0369,Employee_369,HR,2026-01-04,Jan
26-35,Female,1,2,1,3,2,1,4,3,2,4,3,2,1,EMP0370,Employee_370,IT,2026-01-05,Jan
36-45,Male,3,4,4,5,2,2,3,2,3,2,2,4,1,EMP0371,Employee_371,HR,2026-01-06,Jan
26-35,Male,4,1,2,2,3,5,1,4,2,4,4,2,1,EMP0372,Employee_372,Finance,2026-01-07,Jan
18-25,Male,1,5,1,5,4,2,3,2,5,2,2,5,2,EMP0373,Employee_373,Operations,2026-01-08,Jan
26-35,Male,4,4,5,1,1,1,1,1,2,5,1,3,1,EMP0374,Employee_374,IT,2026-01-09,Jan
36-45,Female,2,5,1,3,3,5,4,3,4,3,4,4,2,EMP0375,Employee_375,IT,2026-01-10,Jan
18-25,Male,5,2,3,3,2,2,2,3,3,4,2,3,1,EMP0376,Employee_376,Sales,2026-01-11,Jan
36-45,Prefer not to say,4,5,2,5,1,4,4,3,4,1,4,5,2,EMP0377,Employee_377,Operations,2026-01-12,Jan
26-35,Male,3,2,4,2,4,2,1,2,2,4,2,2,1,EMP0378,Employee_378,Finance,2026-01-13,Jan
36-45,Female,3,2,3,4,4,5,3,4,3,3,4,3,1,EMP0379,Employee_379,Marketing,2026-01-14,Jan
18-25,Male,1,4,3,1,5,2,2,2,3,3,2,3,2,EMP0380,Employee_380,Sales,2026-01-15,Jan
18-25,Male,3,3,5,2,1,1,5,3,3,5,3,3,1,EMP0381,Employee_381,HR,2026-01-16,Jan
46+,Female,2,5,2,5,3,3,5,3,5,1,3,5,2,EMP0382,Employee_382,Sales,2026-01-17,Jan
26-35,Female,3,5,1,3,3,3,4,3,3,4,3,4,2,EMP0383,Employee_383,Support,2026-01-18,Jan
36-45,Female,4,3,4,1,4,5,2,3,3,4,3,2,1,EMP0384,Employee_384,Marketing,2026-01-19,Jan
26-35,Male,3,3,4,1,5,1,5,3,3,4,3,2,1,EMP0385,Employee_385,Marketing,2026-01-20,Jan
18-25,Male,4,1,1,1,4,3,2,3,1,4,3,1,1,EMP0386,Employee_386,Sales,2026-01-21,Jan
26-35,Female,4,5,2,4,2,4,2,2,3,4,3,3,1,EMP0387,Employee_387,Support,2026-01-22,Jan
36-45,Female,5,5,3,4,2,4,3,3,4,1,3,4,2,EMP0388,Employee_388,Marketing,2026-01-23,Jan
26-35,Female,2,5,3,5,1,2,4,2,5,3,2,4,2,EMP0389,Employee_389,Support,2026-01-24,Jan
18-25,Male,1,4,3,2,5,4,2,3,3,3,3,3,2,EMP0390,Employee_390,IT,2026-01-25,Jan
18-25,Male,4,1,4,1,3,1,4,3,1,5,3,1,0,EMP0391,Employee_391,HR,2026-01-26,Jan
18-25,Female,5,4,1,4,2,2,1,2,5,3,1,4,2,EMP0392,Employee_392,HR,2026-01-27,Jan
36-45,Male,3,1,2,4,1,1,1,2,2,4,1,3,1,EMP0393,Employee_393,Sales,2026-01-28,Jan
26-35,Male,3,5,3,4,4,1,2,1,4,3,1,4,2,EMP0394,Employee_394,Support,2026-01-29,Jan
18-25,Female,1,2,4,1,5,2,5,4,2,5,4,2,1,EMP0395,Employee_395,Marketing,2026-01-30,Jan
26-35,Male,2,2,1,1,4,2,4,3,2,5,3,2,1,EMP0396,Employee_396,Operations,2026-01-31,Jan
18-25,Male,2,5,1,2,3,3,5,3,3,4,4,3,1,EMP0397,Employee_397,Finance,2026-02-01,Feb
26-35,Male,4,4,4,2,5,3,3,3,5,3,3,4,1,EMP0398,Employee_398,Operations,2026-02-02,Feb
18-25,Male,4,4,5,2,4,3,1,2,4,2,2,4,2,EMP0399,Employee_399,Operations,2026-02-03,Feb
36-45,Female,2,3,5,5,3,3,4,3,4,2,3,3,1,EMP0400,Employee_400,Finance,2026-02-04,Feb
26-35,Female,2,2,3,4,5,4,2,3,5,2,3,4,1,EMP0401,Employee_401,Operations,2026-02-05,Feb
18-25,Prefer not to say,2,2,4,5,4,3,1,3,4,1,2,4,1,EMP0402,Employee_402,Marketing,2026-02-06,Feb
36-45,Male,1,5,1,1,2,5,1,2,2,5,3,3,1,EMP0403,Employee_403,Support,2026-02-07,Feb
18-25,Male,1,1,4,1,5,2,4,4,4,4,3,2,2,EMP0404,Employee_404,Marketing,2026-02-08,Feb
36-45,Male,3,3,4,3,2,3,5,4,4,4,4,4,1,EMP0405,Employee_405,Marketing,2026-02-09,Feb
18-25,Male,1,5,2,1,1,1,1,1,5,4,1,4,2,EMP0406,Employee_406,IT,2026-02-10,Feb
26-35,Female,2,4,5,4,3,3,3,3,3,2,3,3,1,EMP0407,Employee_407,Finance,2026-02-11,Feb
26-35,Male,2,5,1,5,4,2,3,2,3,2,2,3,1,EMP0408,Employee_408,Support,2026-02-12,Feb
26-35,Female,4,2,5,4,3,4,3,4,4,2,4,3,1,EMP0409,Employee_409,HR,2026-02-13,Feb
18-25,Male,1,2,5,2,2,5,2,4,2,5,4,3,1,EMP0410,Employee_410,Support,2026-02-14,Feb
18-25,Female,2,4,3,3,2,5,2,3,4,3,3,3,1,EMP0411,Employee_411,Sales,2026-02-15,Feb
18-25,Male,2,4,2,4,5,5,2,3,4,2,3,4,2,EMP0412,Employee_412,Support,2026-02-16,Feb
36-45,Male,1,1,1,3,3,5,5,5,1,3,5,1,1,EMP0413,Employee_413,Finance,2026-02-17,Feb
26-35,Female,5,3,5,3,2,2,1,2,2,3,2,3,2,EMP0414,Employee_414,Marketing,2026-02-18,Feb
26-35,Male,3,2,4,3,4,1,5,3,3,3,3,3,1,EMP0415,Employee_415,Sales,2026-02-19,Feb
26-35,Male,4,2,3,5,1,3,4,4,3,1,4,3,1,EMP0416,Employee_416,Finance,2026-02-20,Feb
18-25,Male,1,3,2,1,3,4,1,3,3,4,3,2,1,EMP0417,Employee_417,Finance,2026-02-21,Feb
18-25,Male,3,2,5,3,2,3,3,3,3,3,3,3,1,EMP0418,Employee_418,Support,2026-02-22,Feb
26-35,Male,2,2,2,2,2,1,3,3,2,5,2,3,1,EMP0419,Employee_419,Finance,2026-02-23,Feb
36-45,Female,2,2,4,3,3,1,1,2,3,2,1,3,2,EMP0420,Employee_420,HR,2026-02-24,Feb
26-35,Prefer not to say,4,2,1,3,3,5,4,4,1,3,5,2,0,EMP0421,Employee_421,Support,2026-02-25,Feb
18-25,Male,5,4,4,3,5,2,3,2,5,3,2,4,2,EMP0422,Employee_422,Sales,2026-02-26,Feb
46+,Male,3,5,1,5,2,4,4,3,4,1,4,5,1,EMP0423,Employee_423,IT,2026-02-27,Feb
36-45,Male,3,1,4,5,5,2,5,4,3,3,4,3,1,EMP0424,Employee_424,HR,2026-02-28,Feb
18-25,Male,5,4,2,3,4,4,4,3,3,2,4,3,1,EMP0425,Employee_425,Operations,2026-03-01,Mar
46+,Female,2,1,1,4,3,1,5,4,3,3,3,2,0,EMP0426,Employee_426,IT,2026-03-02,Mar
46+,Male,4,5,5,1,2,5,3,3,3,5,4,2,1,EMP0427,Employee_427,Finance,2026-03-03,Mar
26-35,Male,1,1,3,3,2,1,2,3,2,3,2,2,2,EMP0428,Employee_428,Sales,2026-03-04,Mar
26-35,Male,4,5,2,2,3,3,3,2,4,4,2,3,1,EMP0429,Employee_429,Sales,2026-03-05,Mar
26-35,Female,2,5,4,2,1,4,4,3,3,3,4,4,2,EMP0430,Employee_430,Finance,2026-03-06,Mar
18-25,Female,1,4,3,2,4,5,1,3,3,3,3,3,1,EMP0431,Employee_431,IT,2026-03-07,Mar
18-25,Male,1,1,3,5,4,1,4,3,3,2,3,4,1,EMP0432,Employee_432,IT,2026-03-08,Mar
18-25,Female,1,5,3,2,4,1,4,2,4,4,2,3,2,EMP0433,Employee_433,Operations,2026-03-09,Mar
18-25,Male,1,4,1,4,4,4,4,3,3,3,4,3,2,EMP0434,Employee_434,Finance,2026-03-10,Mar
26-35,Female,1,3,2,1,3,2,5,3,3,4,3,2,1,EMP0435,Employee_435,HR,2026-03-11,Mar
18-25,Male,3,1,4,2,2,5,5,5,3,3,5,2,1,EMP0436,Employee_436,Finance,2026-03-12,Mar
46+,Female,3,4,4,3,4,5,1,3,3,4,3,3,1,EMP0437,Employee_437,IT,2026-03-13,Mar
18-25,Female,2,3,3,3,4,1,4,3,3,3,3,2,1,EMP0438,Employee_438,HR,2026-03-14,Mar
26-35,Female,2,3,3,3,1,3,4,3,2,4,4,2,1,EMP0439,Employee_439,Sales,2026-03-15,Mar
26-35,Male,2,2,1,4,3,5,1,3,2,3,3,3,1,EMP0440,Employee_440,Finance,2026-03-16,Mar
26-35,Female,4,2,3,4,3,1,5,3,3,2,3,3,1,EMP0441,Employee_441,IT,2026-03-17,Mar
26-35,Female,4,1,3,1,5,1,2,3,2,5,2,2,1,EMP0442,Employee_442,Sales,2026-03-18,Mar
36-45,Male,1,4,5,5,5,5,2,3,3,3,3,4,2,EMP0443,Employee_443,Sales,2026-03-19,Mar
18-25,Male,1,2,2,4,4,1,5,3,4,2,3,4,1,EMP0444,Employee_444,IT,2026-03-20,Mar
18-25,Female,3,2,5,3,1,1,5,3,3,4,3,3,1,EMP0445,Employee_445,Marketing,2026-03-21,Mar
36-45,Male,1,5,1,3,2,2,4,2,4,4,2,4,2,EMP0446,Employee_446,HR,2026-03-22,Mar
36-45,Female,3,2,4,4,4,5,3,4,2,2,4,3,1,EMP0447,Employee_447,IT,2026-03-23,Mar
18-25,Female,2,3,3,5,2,4,4,4,3,2,4,3,1,EMP0448,Employee_448,Operations,2026-03-24,Mar
26-35,Male,4,5,4,4,5,3,2,2,4,1,2,5,2,EMP0449,Employee_449,Marketing,2026-03-25,Mar
18-25,Female,4,5,1,1,4,4,3,3,3,5,3,3,2,EMP0450,Employee_450,HR,2026-03-26,Mar
18-25,Female,3,2,5,1,1,1,4,3,2,5,3,2,1,EMP0451,Employee_451,IT,2026-03-27,Mar
36-45,Male,5,1,4,4,1,3,4,4,3,4,4,2,1,EMP0452,Employee_452,Marketing,2026-03-28,Mar
26-35,Female,3,1,3,5,2,5,5,5,2,2,5,3,1,EMP0453,Employee_453,Support,2026-03-29,Mar
26-35,Male,3,3,4,4,2,2,3,3,3,3,3,4,2,EMP0454,Employee_454,Support,2026-03-30,Mar
36-45,Female,5,5,1,1,4,3,4,3,2,4,4,3,0,EMP0455,Employee_455,Marketing,2026-03-31,Mar
18-25,Male,3,2,1,2,5,1,5,3,3,4,3,2,1,EMP0456,Employee_456,Operations,2026-04-01,Apr
18-25,Male,2,3,2,3,1,4,2,3,3,4,3,3,2,EMP0457,Employee_457,Operations,2026-04-02,Apr
18-25,Female,5,3,3,4,4,4,3,3,3,4,3,3,1,EMP0458,Employee_458,Finance,2026-04-03,Apr
26-35,Female,2,2,4,4,1,4,2,3,2,5,3,3,1,EMP0459,Employee_459,Sales,2026-04-04,Apr
36-45,Male,5,2,1,5,1,3,2,3,3,1,3,4,2,EMP0460,Employee_460,IT,2026-04-05,Apr
